Transaction Arrival Rate,Block Size,Orderer,pre_Latency,pre_Throughput
10,130,9,0.60795955,9.688080805
10,135,3,0.710853677,9.881891841
10,135,5,0.641331761,14.69153616
10,135,7,0.616921597,9.058666438
10,135,9,0.628691655,8.72808935
10,140,3,0.660868135,9.655838984
10,140,5,0.634992484,8.884714717
10,140,7,0.689324478,9.324296015
10,140,9,0.62005972,8.510546321
10,145,3,0.579297287,8.200589216
10,145,5,0.622056204,8.238116682
10,145,7,0.603601402,10.2034716
10,145,9,0.610377276,9.603221357
10,150,3,0.595718339,9.762939009
10,150,5,0.591007581,9.86556352
10,150,7,0.576558527,8.209273847
10,150,9,0.59273611,17.53572114
10,155,3,0.634729215,10.86557268
10,155,5,0.592315617,9.251269087
10,155,7,0.597012409,10.38238939
10,155,9,0.583185938,10.4588939
10,160,3,0.635746095,10.95406297
10,160,5,0.663048932,9.576009687
10,160,7,0.614163563,14.14107927
10,160,9,0.581496033,14.32749589
10,165,3,0.652291998,9.434945234
10,165,5,0.605627283,10.42112993
10,165,7,0.590761349,9.035659345
10,165,9,0.663591203,13.47138933
10,170,3,0.604518387,9.4946956
10,170,5,0.620173284,14.08204301
10,170,7,0.61202254,10.89943498
10,170,9,0.608567867,10.28149522
10,175,3,0.624465749,13.82171586
10,175,5,0.612864777,14.05833085
10,175,7,0.604474661,9.732754072
10,175,9,0.608803436,9.826272138
10,180,3,0.631017134,14.19613298
10,180,5,0.623277983,9.638868269
10,180,7,0.582732853,14.12844346
10,180,9,0.585808977,8.747434553
10,185,3,0.582367,9.404149946
10,185,5,0.641834578,13.88155473
10,185,7,0.608717284,8.838058027
10,185,9,0.590954551,9.698385176
10,190,3,0.608746335,9.971860823
10,190,5,0.611947462,8.812734541
10,190,7,0.592512587,10.22914079
10,190,9,0.595858237,15.88939622
10,195,3,0.626219508,14.42835649
10,195,5,0.606957218,9.357105573
10,195,7,0.600675687,10.38313096
10,195,9,0.609746119,9.800666365
10,200,3,0.585647711,15.19626039
10,200,5,0.590508494,14.11370042
10,200,7,0.623548505,14.33273271
10,200,9,0.629021725,13.65723985
10,205,3,0.619649634,18.40482744
10,205,5,0.60980117,9.76710771
10,205,7,0.591683969,9.642116865
10,205,9,0.683566078,9.955619367
10,210,3,0.610001799,8.916129621
10,210,5,0.594983211,9.801276716
10,210,7,0.641807529,14.05475419
10,210,9,0.607521495,14.13916124
10,215,3,0.635777304,10.587408
10,215,5,0.570646247,10.53271898
10,215,7,0.58927646,10.52260545
10,215,9,0.650794133,14.15883439
10,220,3,0.582759508,9.626705488
10,220,5,0.635343501,10.00343583
10,220,7,0.593071905,9.185514387
10,220,9,0.597058269,13.93982194
10,225,3,0.589037189,9.87771562
10,225,5,0.595841214,10.18478959
10,225,7,0.61565499,9.296581587
10,225,9,0.586736748,14.3801143
10,230,3,0.589299062,13.5495479
10,230,5,0.571757349,9.714577802
10,230,7,0.614081344,10.49489396
10,230,9,0.625723049,13.74135545
10,235,3,0.587131318,8.934731611
10,235,5,0.621363231,13.59242204
10,235,7,0.618895218,10.15730699
10,235,9,0.5851899,14.23086961
10,240,3,0.587828377,9.907369551
10,240,5,0.615094301,15.10403398
10,240,7,0.573042378,13.94009965
10,240,9,0.582932356,13.28738054
10,245,3,0.626894602,11.29553178
10,245,5,0.616532406,14.95216325
10,245,7,0.613973185,10.21798509
10,245,9,0.605965635,10.10153459
10,250,3,0.629778454,14.57757066
10,250,5,0.619982049,10.85148271
10,250,7,0.544086012,10.96788133
10,250,9,0.608008704,8.95034593
10,255,3,0.585806158,9.551484236
10,255,5,0.610594413,9.62252458
10,255,7,0.570701525,22.89074968
10,255,9,0.648261616,10.66041673
10,260,3,0.608909509,14.84722856
10,260,5,0.582878646,9.269001325
10,260,7,0.598753413,14.64154466
10,260,9,0.673136493,9.147999128
10,265,3,0.6354341,9.553377851
10,265,5,0.615784368,13.75873674
10,265,7,0.635750982,14.98676866
10,265,9,0.664123532,9.732455
10,270,3,0.651345131,19.13605302
10,270,5,0.635190079,14.04934343
10,270,7,0.574197337,13.82234147
10,270,9,0.631365046,10.33876603
10,275,3,0.589789155,10.47560488
10,275,5,0.622610649,9.625762043
10,275,7,0.582553622,9.596414814
10,275,9,0.639654776,9.961640034
10,280,3,0.582922432,10.53116365
10,280,5,0.609763214,10.3990317
10,280,7,0.61209819,15.31593386
10,280,9,0.601413199,14.50270906
10,285,3,0.627264711,9.221509419
10,285,5,0.568462381,9.520455036
10,285,7,0.593145445,11.00251223
10,285,9,0.636007091,10.35781008
10,290,3,0.602904043,14.89139315
10,290,5,0.590559634,9.763017903
10,290,7,0.63184571,15.35618197
10,290,9,0.645325896,15.76696535
10,295,3,0.605313405,9.705478535
10,295,5,0.585316369,11.32597109
10,295,7,0.598429587,13.59785677
10,295,9,0.640179393,14.18817659
10,300,3,0.587335977,10.3489966
10,300,5,0.574614569,9.531021748
10,300,7,0.63091763,15.09054018
10,300,9,0.590169552,13.86902224
10,305,3,0.623666522,9.672225056
10,305,5,0.65355055,9.08805605
10,305,7,0.594747212,9.090128193
10,305,9,0.595286617,10.45878359
10,310,3,0.59581593,14.18087679
10,310,5,0.630398306,10.40572573
10,310,7,0.658995911,9.678360615
10,310,9,0.601607194,9.872930012
10,315,3,0.590063676,13.93045259
10,315,5,0.614639959,10.04507509
10,315,7,0.573080727,15.04545961
10,315,9,0.587670788,14.30383974
10,320,3,0.647109923,14.43167788
10,320,5,0.594823131,13.99988009
10,320,7,0.593790588,10.12755495
10,320,9,0.591121015,11.19709536
10,325,3,0.586645523,9.182131062
10,325,5,0.593832555,13.65528017
10,325,7,0.646487662,9.162233601
10,325,9,0.60209119,10.12579561
10,330,3,0.585143366,14.52986132
10,330,5,0.613131007,9.705039082
10,330,7,0.660542652,14.84480501
10,330,9,0.571824917,9.699945698
10,335,3,0.571189555,10.86288973
10,335,5,0.611073181,14.43131166
10,335,7,0.589552006,9.625537739
10,335,9,0.588699678,9.822162495
10,340,3,0.610894641,19.14717928
10,340,5,0.593707845,14.51100756
10,340,7,0.582840022,14.29896303
10,340,9,0.622532925,10.07179476
10,345,3,0.580821785,10.08710848
10,345,5,0.56321927,10.60384127
10,345,7,0.566899189,9.809932575
10,345,9,0.593358442,14.33208986
10,350,3,0.586773142,10.01169649
10,350,5,0.651758954,18.80018984
10,350,7,0.590090129,10.53226381
10,350,9,0.597324547,9.900214253
10,355,3,0.575931212,9.299288044
10,355,5,0.602775654,14.59422365
10,355,7,0.642261907,19.66488405
10,355,9,0.615242514,11.06222902
10,360,3,0.627864787,13.54516817
10,360,5,0.60345765,10.45623537
10,360,7,0.587037727,14.46564241
10,360,9,0.598856279,9.310996113
10,365,3,0.570890984,9.163451252
10,365,5,0.586010036,11.09900881
10,365,7,0.580340573,9.987332783
10,365,9,0.68183094,13.85763765
10,370,3,0.577362272,11.34373079
10,370,5,0.581127438,11.17598024
10,370,7,0.574325237,11.57856966
10,370,9,0.583831021,15.44216677
10,375,3,0.653804311,9.941974507
10,375,5,0.642990968,10.97766481
10,375,7,0.600183275,11.10199648
10,375,9,0.591962346,15.98170534
10,380,3,0.632961294,11.40010134
10,380,5,0.589955339,13.78550173
10,380,7,0.612357184,19.08969484
10,380,9,0.637332746,9.263025532
10,385,3,0.575673982,9.904648457
10,385,5,0.594950685,9.840067158
10,385,7,0.620355984,15.74072023
10,385,9,0.58459495,9.091771565
10,390,3,0.63473582,11.24987551
10,390,5,0.597215953,9.060254536
10,390,7,0.601409289,13.73911806
10,390,9,0.575867221,9.286542378
10,395,3,0.575276396,9.103183613
10,395,5,0.618818209,9.843982563
10,395,7,0.63045629,14.03841921
10,395,9,0.640581056,16.50886293
10,400,3,0.662674829,14.53202205
10,400,5,0.585156861,8.783889729
10,400,7,0.628867695,9.45758968
10,400,9,0.593365958,13.20621181
10,405,3,0.620756816,9.184511799
10,405,5,0.608563738,10.10506691
10,405,7,0.655496549,13.57525429
10,405,9,0.624535101,15.03977913
10,410,3,0.604427887,18.76986824
10,410,5,0.66843263,18.63539406
10,410,7,0.673594488,10.1317762
10,410,9,0.611777855,8.933024372
10,415,3,0.642351529,9.30467049
10,415,5,0.638255736,9.299891438
10,415,7,0.540770874,13.03280558
10,415,9,0.535591797,21.35111307
10,420,3,0.52151976,12.37480387
10,420,5,0.581329946,13.62757028
10,420,7,0.545293502,20.95306391
10,420,9,0.688409476,14.62128061
10,425,3,0.53128281,11.8274177
10,425,5,0.577964191,16.20282968
10,425,7,0.545276145,16.59163889
10,425,9,0.521116225,12.19365915
10,430,3,0.594531922,16.85493845
10,430,5,0.610804908,16.09597849
10,430,7,0.578769378,11.83239511
10,430,9,0.526260422,12.8329841
10,435,3,0.534780113,12.98236917
10,435,5,0.514113394,21.31053995
10,435,7,0.598043076,12.52072367
10,435,9,0.542436055,16.71867288
10,440,3,0.564212207,21.2364921
10,440,5,0.55084037,12.6381019
10,440,7,0.527366857,16.40483469
10,440,9,0.531707458,17.16726679
10,445,3,0.520125953,13.02514871
10,445,5,0.517111401,11.88196482
10,445,7,0.538385312,16.38128122
10,445,9,0.55277398,12.43154978
10,450,3,0.591035108,11.86256479
10,450,5,0.524203722,13.90629343
10,450,7,0.561954884,12.77076029
10,450,9,0.499592272,21.47732309
10,455,3,0.55037115,17.3172706
10,455,5,0.50669295,13.30006937
10,455,7,0.504197268,13.33171457
10,455,9,0.513935749,13.96758798
10,460,3,0.586843459,13.45793527
10,460,5,0.529274128,25.29540018
10,460,7,0.519853143,14.79723276
10,460,9,0.514770655,15.22341074
10,465,3,0.499391369,12.65216135
10,465,5,0.546631829,13.42403635
10,465,7,0.639756481,18.52068018
10,465,9,0.529134397,12.48043589
10,470,3,0.585818271,12.48215097
10,470,5,0.541405646,13.37942728
10,470,7,0.518775086,12.51094736
10,470,9,0.593321518,13.86562876
10,475,3,0.512712757,13.22591928
10,475,5,0.564598946,13.28699411
10,475,7,0.559974841,17.60312036
10,475,9,0.596185426,16.23423532
10,480,3,0.552040116,12.51632608
10,480,5,0.545132349,11.93104929
10,480,7,0.562917773,13.2761619
10,480,9,0.554304806,12.98489756
10,485,3,0.576278929,22.02812723
10,485,5,0.558248285,16.41420206
10,485,7,0.542312215,13.27769998
10,485,9,0.55527331,13.38298105
10,490,3,0.584492795,13.4588508
10,490,5,0.539935688,13.50142435
10,490,7,0.556913821,16.55108408
10,490,9,0.515035955,12.41439737
10,495,3,0.543388073,13.28737253
10,495,5,0.563312785,14.46430277
10,495,7,0.536409871,13.44018167
10,495,9,0.523246721,17.29592508
10,500,3,0.586518363,13.62743296
10,500,5,0.566303257,13.71438516
10,500,7,0.572497038,12.13093332
10,500,9,0.57504857,13.82240366
10,505,3,0.569249324,11.98262857
10,505,5,0.565277163,12.55274423
10,505,7,0.532414571,12.34115976
10,505,9,0.512976209,13.58824839
10,510,3,0.532466845,12.52353891
10,510,5,0.571702675,12.68906626
10,510,7,0.503894762,13.30575022
10,510,9,0.60014054,18.11523508
10,515,3,0.519371382,13.77140879
10,515,5,0.564799122,12.69976572
10,515,7,0.532378529,17.19277872
10,515,9,0.568357794,12.22641672
10,520,3,0.542229299,13.21435465
10,520,5,0.525002519,21.75485224
10,520,7,0.554774265,12.39541239
10,520,9,0.531662647,13.35465921
10,525,3,0.556339864,13.22092508
10,525,5,0.535639981,16.52481455
10,525,7,0.587203149,12.80271067
10,525,9,0.583617,13.31689066
10,530,3,0.542821602,13.61686167
10,530,5,0.520290653,13.71390604
10,530,7,0.556182687,17.10373148
10,530,9,0.588787846,13.68240122
10,535,3,0.544503085,16.87261423
10,535,5,0.591819767,12.25353006
10,535,7,0.548363129,17.64432596
10,535,9,0.540269891,13.96609568
10,540,3,0.556611133,12.14128946
10,540,5,0.586965334,17.009629
10,540,7,0.539561772,17.10835489
10,540,9,0.57278384,13.1988151
10,545,3,0.535755849,17.91839136
10,545,5,0.557821965,18.08091196
10,545,7,0.550658989,13.10903086
10,545,9,0.579929042,15.25301432
10,550,3,0.569201315,14.24782022
10,550,5,0.561648524,12.94152597
10,550,7,0.554154003,13.61963877
10,550,9,0.605253851,16.92050852
10,555,3,0.583826053,13.4588508
10,555,5,0.527170694,14.22682108
10,555,7,0.612531626,12.92739481
10,555,9,0.543302733,21.65716318
10,560,3,0.521421361,14.02337259
10,560,5,0.563060445,16.35687784
10,560,7,0.611601341,13.38656687
10,560,9,0.591280603,13.76643137
10,565,3,0.552326071,13.46819834
10,565,5,0.602643132,17.1103454
10,565,7,0.58578881,12.11645273
10,565,9,0.538600516,12.56583933
10,570,3,0.540662062,12.60127329
10,570,5,0.572066295,13.19384531
10,570,7,0.583998573,13.75199503
10,570,9,0.540068185,16.84159922
10,575,3,0.531207109,12.13343271
10,575,5,0.537393308,18.17297052
10,575,7,0.583458376,13.47828745
10,575,9,0.534580422,20.83980326
10,580,3,0.530560029,21.46334757
10,580,5,0.547334915,12.47572397
10,580,7,0.566936159,16.37834848
10,580,9,0.58431344,16.58833536
10,585,3,0.563728178,17.24113382
10,585,5,0.54917357,14.77015604
10,585,7,0.548467302,13.94968332
10,585,9,0.596004927,12.87320932
10,590,3,0.551910102,17.3102218
10,590,5,0.598191416,16.73416208
10,590,7,0.525281215,17.89463877
10,590,9,0.567033804,16.87574228
10,595,3,0.593654454,12.97465128
10,595,5,0.589257801,21.59757379
10,595,7,0.552638745,12.67689279
10,595,9,0.545734096,12.58828348
10,600,3,0.591657317,17.52453379
10,600,5,0.547416788,13.85163797
10,600,7,0.540687299,17.04223246
10,600,9,0.563495386,17.47249979
10,605,3,0.531733298,14.8774589
10,605,5,0.545335037,12.20877298
10,605,7,0.531449962,13.65752329
10,605,9,0.533314669,12.44193491
10,610,3,0.575562155,13.57463755
10,610,5,0.532708383,14.19040903
10,610,7,0.588489258,17.33779978
10,610,9,0.620166576,13.32561258
10,615,3,0.563692677,21.38962702
10,615,5,0.584330177,12.83763498
10,615,7,0.56393584,13.48135294
10,615,9,0.547607738,14.19789347
10,620,3,0.548416221,13.37132791
10,620,5,0.593315387,12.88001627
10,620,7,0.572750414,17.23558573
10,620,9,0.569909775,17.67694925
10,625,3,0.574100924,12.75261301
10,625,5,0.568451607,12.19873423
10,625,7,0.575657845,16.81979593
10,625,9,0.52911824,20.86662058
10,630,3,0.570623744,12.82962241
10,630,5,0.525530243,13.38743796
10,630,7,0.561641973,16.81828208
10,630,9,0.527134299,13.18918967
10,635,3,0.560058606,13.41394248
10,635,5,0.594797409,16.97611594
10,635,7,0.581259406,18.35513663
