,Number
2014-09-01 11:30:00,6145
2014-09-01 11:32:00,6450
2014-09-01 11:34:00,4531
2014-09-01 11:36:00,5242
2014-09-01 11:38:00,5544
2014-09-01 11:40:00,5346
2014-09-01 11:42:00,4839
2014-09-01 11:44:00,6149
2014-09-01 11:46:00,6349
2014-09-01 11:48:00,5142
2014-09-01 11:50:00,6248
2014-09-01 11:52:00,6548
2014-09-01 11:54:00,5745
2014-09-01 11:56:00,6247
2014-09-01 11:58:00,5944
2014-09-01 12:00:00,6848
2014-09-01 12:02:00,6549
2014-09-01 12:04:00,5745
2014-09-01 12:06:00,6346
2014-09-01 12:08:00,6855
2014-09-01 12:10:00,5842
2014-09-01 12:12:00,5844
2014-09-01 12:14:00,6858
2014-09-01 12:16:00,8360
2014-09-01 12:18:00,6041
2014-09-01 12:20:00,6655
2014-09-01 12:22:00,5541
2014-09-01 12:24:00,5143
2014-09-01 12:26:00,6453
2014-09-01 12:28:00,7453
2014-09-01 12:30:00,4537
2014-09-01 12:32:00,6753
2014-09-01 12:34:00,4530
2014-09-01 12:36:00,5851
2014-09-01 12:38:00,6649
2014-09-01 12:40:00,5849
2014-09-01 12:42:00,6654
2014-09-01 12:44:00,7462
2014-09-01 12:46:00,6948
2014-09-01 12:48:00,5846
2014-09-01 12:50:00,6045
2014-09-01 12:52:00,6749
2014-09-01 12:54:00,6549
2014-09-01 12:56:00,7054
2014-09-01 12:58:00,6547
2014-09-01 13:00:00,7258
2014-09-01 13:02:00,6044
2014-09-01 13:04:00,6954
2014-09-01 13:06:00,5646
2014-09-01 13:08:00,6547
2014-09-01 13:10:00,6548
2014-09-01 13:12:00,5348
2014-09-01 13:14:00,6656
2014-09-01 13:16:00,7551
2014-09-01 13:18:00,7457
2014-09-01 13:20:00,8871
2014-09-01 13:22:00,7966
2014-09-01 13:24:00,8061
2014-09-01 13:26:00,7551
2014-09-01 13:28:00,7964
2014-09-01 13:30:00,7251
2014-09-01 13:32:00,6756
2014-09-01 13:34:00,5643
2014-09-01 13:36:00,5939
2014-09-01 13:38:00,6455
2014-09-01 13:40:00,6147
2014-09-01 13:42:00,7857
2014-09-01 13:44:00,6249
2014-09-01 13:46:00,7760
2014-09-01 13:48:00,6647
2014-09-01 13:50:00,7256
2014-09-01 13:52:00,6950
2014-09-01 13:54:00,7150
2014-09-01 13:56:00,9574
2014-09-01 13:58:00,7159
2014-09-01 14:00:00,8963
2014-09-01 14:02:00,7857
2014-09-01 14:04:00,7460
2014-09-01 14:06:00,7249
2014-09-01 14:08:00,6039
2014-09-01 14:10:00,5541
2014-09-01 14:12:00,6750
2014-09-01 14:14:00,6951
2014-09-01 14:16:00,7454
2014-09-01 14:18:00,8263
2014-09-01 14:20:00,7559
2014-09-01 14:22:00,8459
2014-09-01 14:24:00,8158
2014-09-01 14:26:00,7454
2014-09-01 14:28:00,8264
2014-09-01 14:30:00,6748
2014-09-01 14:32:00,7656
2014-09-01 14:34:00,6141
2014-09-01 14:36:00,6550
2014-09-01 14:38:00,7458
2014-09-01 14:40:00,9465
2014-09-01 14:42:00,8166
2014-09-01 14:44:00,8264
2014-09-01 14:46:00,7759
2014-09-01 14:48:00,8869
2014-09-01 14:50:00,7248
2014-09-01 14:52:00,7754
2014-09-01 14:54:00,6948
2014-09-01 14:56:00,8266
2014-09-01 14:58:00,7568
2014-09-01 15:00:00,7659
2014-09-01 15:02:00,7656
2014-09-01 15:04:00,6843
2014-09-01 15:06:00,8766
2014-09-01 15:08:00,7253
2014-09-01 15:10:00,9171
2014-09-01 15:12:00,7557
2014-09-01 15:14:00,9569
2014-09-01 15:16:00,8555
2014-09-01 15:18:00,8364
2014-09-01 15:20:00,9269
2014-09-01 15:22:00,7763
2014-09-01 15:24:00,7763
2014-09-01 15:26:00,7650
2014-09-01 15:28:00,8462
2014-09-01 15:30:00,8659
2014-09-01 15:32:00,8261
2014-09-01 15:34:00,6851
2014-09-01 15:36:00,7757
2014-09-01 15:38:00,7058
2014-09-01 15:40:00,7761
2014-09-01 15:42:00,9462
2014-09-01 15:44:00,7050
2014-09-01 15:46:00,8862
2014-09-01 15:48:00,7151
2014-09-01 15:50:00,9874
2014-09-01 15:52:00,9568
2014-09-01 15:54:00,8559
2014-09-01 15:56:00,10482
2014-09-01 15:58:00,7266
2014-09-01 16:00:00,9573
2014-09-01 16:02:00,8465
2014-09-01 16:04:00,8164
2014-09-01 16:06:00,7354
2014-09-01 16:08:00,7250
2014-09-01 16:10:00,7048
2014-09-01 16:12:00,8662
2014-09-01 16:14:00,7352
